GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
zookeeper,main,Bee,18,23,0,0,8,10,5,6,5,6
zookeeper,main,Snail,18,19,0,0,8,8,5,4,5,4
zookeeper,main,Human,18,19,0,0,8,8,5,4,5,4
zookeeper,main,MainController,28,13,0,0,7,3,5,1,5,1
zookeeper,main,Dog,24,17,0,0,8,7,6,3,6,3
zookeeper,main,Centipede,15,12,0,0,6,5,4,2,4,2
zookeeper,main,Animals,2,5,0,0,1,2,1,2,1,2
zookeeper,main,Bat,8,39,0,0,1,17,1,10,1,10
zookeeper,main,Salmon,26,15,0,0,9,6,6,2,6,2
zookeeper,main,Starfish,18,15,0,0,8,6,5,2,5,2
zookeeper,main,Roost,25,28,0,0,5,5,3,1,3,1
zookeeper,main,Insects,0,5,0,0,0,2,0,2,0,2
zookeeper,main,Main,5,3,0,0,2,1,1,1,1,1
zookeeper,main,Mammals,0,9,0,0,0,4,0,4,0,4
zookeeper,main,Kennel,25,38,0,0,5,6,3,1,3,1
zookeeper,main,Fish,0,7,0,0,0,3,0,3,0,3
